time_on_site,pages_visited,previous_purchases,made_purchase
8.872778605137821,5,2,1
6.48416593973867,4,1,0
5.374839761046873,1,4,1
7.725347724734116,3,0,0
3.336996114087807,4,3,1
4.786810478170697,5,0,0
6.910308233801646,5,3,1
9.220708735640791,6,5,1
2.6629113706867833,7,4,1
7.56146891712079,5,5,0
5.763678121681968,3,4,1
5.326122134858832,3,0,0
4.984541555490524,4,3,1
2.2307067586107934,6,5,0
6.926177996426064,5,4,0
3.435461959347344,7,1,0
2.840618594995306,3,1,0
6.770917917800676,6,5,0
6.578268050293357,1,3,0
5.1580001672221245,4,5,0
7.159087241623283,6,0,1
7.85187316295823,5,4,1
7.6164481556510815,3,0,0
3.94344205319604,2,1,0
7.028209862559424,5,4,0
5.4232819550172975,6,5,0
8.451815540704748,2,0,1
4.752543327465654,7,2,1
4.287056725263339,10,3,0
3.7724062463142465,8,3,0
5.378575788471111,5,2,0
5.933450935184208,0,1,1
5.971924565854542,2,4,1
5.698345080623714,2,3,0
6.342074025359612,6,2,0
4.5549163281712035,4,5,1
3.254969368816257,3,2,1
3.0803440061727043,3,1,0
6.950102190606937,7,1,0
5.940644621056579,1,0,0
1.288324458099352,5,3,0
7.193506853599882,1,0,0
8.76087029280531,4,2,0
3.5681662984829345,2,4,0
5.6723200925520825,7,4,0
4.053083812735281,4,1,1
6.256613850942333,6,4,0
2.6679822218495497,6,4,0
4.857108685802438,5,4,0
6.962628255997562,5,2,0
7.471423478597679,5,4,1
5.852991637839377,7,5,0
4.321909393580522,4,4,0
1.814797831312783,8,4,1
3.4849005775214366,2,0,0
4.06145319049044,7,2,1
3.6045324333967717,0,1,0
5.11910593662723,2,0,0
4.31622452765743,0,3,0
5.344242744670886,4,2,0
7.405254602095328,0,5,1
4.187075557541277,4,2,1
2.2342660454915504,5,3,0
3.5965848037502504,6,3,0
6.167176939946543,9,3,1
6.355887569905346,5,1,1
5.812170394032468,5,4,0
7.601474611776032,3,2,0
4.627273860246029,1,4,0
9.104332296018647,5,4,1
6.636374272211814,6,5,0
-0.046974940415754673,3,3,0
8.601317259927132,5,1,1
3.4660267797285567,6,5,0
2.9317976210861385,3,0,0
6.047542219665788,5,1,0
1.5236390553269126,6,4,0
3.6090615373567734,2,1,0
8.114197081248415,3,3,0
6.112435157995005,3,0,0
6.62447956187844,3,3,0
3.6861787990050523,1,0,1
1.9232600020637936,4,5,1
6.413634858627468,4,4,0
6.860512312483901,4,0,0
6.76998677216222,4,0,0
5.418138460235731,6,0,0
3.0658635130558585,3,1,0
9.87553917611946,3,5,1
5.959574885968351,4,1,0
4.652226716821664,6,4,0
4.661101525033264,4,0,0
5.299194956147107,11,5,1
7.1392165243159615,3,5,0
5.379256246610905,6,2,1
6.7170263068949945,7,4,0
5.302795375786415,2,5,1
4.7752922170592385,6,0,1
6.282500786656778,3,0,0
6.206572067347593,2,5,0
4.66073176180969,6,1,0
3.5015860845714815,9,4,0
5.6834578294808695,3,0,1
5.156697337925188,4,5,1
3.890256574458485,7,0,1
3.3151990349264064,6,5,1
5.820951687788913,2,4,0
6.100190114055389,7,5,0
4.279935770690279,3,2,1
