email_length,num_links,num_special_chars,is_spam
273.51198981164805,3,11,1
325.6633716556678,5,16,0
304.853877467402,1,11,1
348.43224952664445,0,7,0
264.89734530613237,8,7,0
283.6168926701116,1,13,0
280.3945923433921,2,9,0
226.82425259339408,3,12,0
314.8060138532288,4,13,0
313.05276360899444,3,7,0
300.255672832123,0,11,0
288.27064333124264,0,8,0
229.23146289747928,3,11,0
278.96773386173203,1,5,0
282.8642741736615,2,9,0
259.88613653891906,3,12,0
291.93571441669957,5,5,0
320.2025428407269,2,12,0
394.3092950605265,3,14,0
308.72889064159193,2,10,0
312.8775195361382,0,13,0
296.2777042116916,0,12,1
204.06143923504794,1,8,0
298.67430622753915,1,13,0
303.01151049705135,3,12,0
423.1621056242643,1,11,0
290.3819517609439,0,14,0
315.07736711668065,1,13,0
298.26441151473784,1,8,0
241.5660981190234,0,14,0
357.14114072575103,1,11,0
337.5966516343387,2,11,1
339.5515973521523,0,13,1
254.53062726026306,2,13,1
370.13971554680495,2,18,1
229.90744686038596,3,12,0
329.3428546900135,1,8,0
409.5227812904989,2,4,0
250.4731837434656,2,8,0
271.6851135198614,3,12,1
304.98256825438204,1,13,0
274.82621729419003,2,10,1
222.46682844669337,1,12,0
303.42814874030137,0,9,1
246.88481431369476,1,12,0
323.6796215317591,1,5,0
254.02878828830984,5,11,0
377.496720250877,3,17,0
260.83733538318813,0,9,0
283.89692418971623,1,9,0
340.6758608684835,2,15,1
238.45678417830223,3,7,0
311.37299673020647,1,11,0
365.3571377141214,1,14,0
219.62583827193862,1,19,1
309.2316929266152,1,13,0
312.9941397124212,3,6,0
339.0911435888655,4,15,0
238.1524644560959,1,13,0
233.9771693457862,3,5,0
326.09707828084487,2,12,0
314.8492336616593,2,7,0
312.52464251729384,0,4,1
317.32241047484877,2,8,0
265.99876392107547,1,8,0
311.61268485805016,1,9,0
314.65362366493406,1,11,1
264.28242909868163,0,13,0
393.28872555723785,3,10,1
323.6916460455894,4,6,0
240.43482513986757,4,11,0
332.8276804316915,2,11,0
251.26591648863393,0,8,1
339.3542301871226,3,5,0
357.9297789503702,2,9,1
258.9658840824145,1,11,1
348.1688064622161,2,13,0
320.6390463468249,3,6,0
341.10300799972447,2,11,0
394.8396491326974,2,8,0
287.73059419985645,4,10,1
262.3131917821255,0,9,1
255.52427851872383,3,10,0
259.2094857517281,5,5,0
296.1449145292948,1,7,1
317.0575987408322,1,14,0
313.8345399665009,3,7,1
341.3591624518012,1,11,0
300.65009459389535,1,10,0
372.67670385786585,2,7,0
286.7671583381022,2,4,0
436.00845832948096,3,7,0
331.2833673882503,1,12,0
257.1421221791859,3,8,0
246.45537509694438,2,14,1
324.12362076215925,2,9,1
288.82686073370746,6,10,0
335.70002470460463,3,15,0
323.66188122867726,3,8,0
296.3585543671564,2,15,0
257.6603140965798,4,11,0
224.25763876570676,0,12,0
277.67425239664897,2,6,0
342.8199397161736,1,20,0
310.7046872065102,3,14,0
237.7130610644006,2,9,0
308.6590462925591,1,9,1
319.26586898644183,1,6,0
255.80712818994334,3,19,0
307.6862552972764,1,11,0
302.9104359223,1,13,0
242.85148510846884,2,19,1
